area_type,dun,max_elevation,watercover,state,parlimen,population_total,sex_male,sex_female,housing_total,household_total
sla,N.29 Kemasik,631.0,0.0432327660914503,Terengganu,P.040 Kemaman,38014,19244,18770,10738,9644
sla,N.30 Kijal,590.0,0.0671585512220213,Terengganu,P.040 Kemaman,51994,28135,23859,13673,12760
sla,N.31 Cukai,205.0,0.6489356636030287,Terengganu,P.040 Kemaman,50186,25897,24289,13403,12083
sla,N.23 Air Putih,841.0,0.0283808562089766,Pulau Pinang,P.048 Bukit Bendera,14744,7410,7334,5108,4473
sla,N.32 Air Putih,1376.0,0.0197435729057518,Terengganu,P.040 Kemaman,75388,39733,35655,19919,18445
sla,N.01 Penaga,31.0,0.6325833826721926,Pulau Pinang,P.041 Kepala Batas,28207,14243,13964,7897,6976
sla,N.02 Bertam,22.0,0.1042607624522282,Pulau Pinang,P.041 Kepala Batas,25194,13491,11703,7555,6589
sla,N.03 Pinang Tunggal,31.0,0.2049690077352594,Pulau Pinang,P.041 Kepala Batas,63642,32623,31019,17991,15865
sla,N.04 Permatang Berangan,79.0,0.028358229353159,Pulau Pinang,P.042 Tasek Gelugor,39561,20395,19166,10414,9056
sla,N.05 Sungai Dua,27.0,0.0699509305894814,Pulau Pinang,P.042 Tasek Gelugor,37508,18924,18584,10691,9493
sla,N.06 Telok Ayer Tawar,26.0,0.8970226482314022,Pulau Pinang,P.042 Tasek Gelugor,29830,15212,14618,9260,8208
sla,N.07 Sungai Puyu,33.0,0.3591091865140736,Pulau Pinang,P.043 Bagan,49443,25144,24299,14961,13205
sla,N.08 Bagan Jermal,36.0,0.5356712622138937,Pulau Pinang,P.043 Bagan,34358,16359,17999,11706,9081
sla,N.09 Bagan Dalam,29.0,1.225651883218186,Pulau Pinang,P.043 Bagan,28911,14890,14021,9599,7889
sla,N.10 Seberang Jaya,38.0,0.123439958049292,Pulau Pinang,P.044 Permatang Pauh,93836,49543,44293,26368,24749
sla,N.11 Permatang Pasir,77.0,0.0755897545130198,Pulau Pinang,P.044 Permatang Pauh,34309,17328,16981,10184,8581
sla,N.12 Penanti,185.0,0.5866913973376229,Pulau Pinang,P.044 Permatang Pauh,31844,15916,15928,9488,7871
sla,N.13 Berapit,141.0,0.0,Pulau Pinang,P.045 Bukit Mertajam,28128,15243,12885,8621,6701
sla,N.14 Machang Bubuk,563.0,0.1518772808808065,Pulau Pinang,P.045 Bukit Mertajam,95164,50463,44701,31348,24544
sla,N.15 Padang Lalang,56.0,0.0541524819887578,Pulau Pinang,P.045 Bukit Mertajam,39655,20063,19592,13806,10608
sla,N.16 Perai,45.0,0.7103399433427762,Pulau Pinang,P.046 Batu Kawan,26435,14562,11873,8049,6659
sla,N.17 Bukit Tengah,214.0,0.2790245053227566,Pulau Pinang,P.046 Batu Kawan,76060,42755,33305,20452,17226
sla,N.18 Bukit Tambun,252.0,0.2526234603968495,Pulau Pinang,P.046 Batu Kawan,61973,28905,33068,19224,16441
sla,N.19 Jawi,75.0,0.2975456313894292,Pulau Pinang,P.047 Nibong Tebal,37397,19631,17766,14165,11832
sla,N.20 Sungai Bakap,424.0,0.0138527026531136,Pulau Pinang,P.047 Nibong Tebal,56802,29941,26861,21055,17160
sla,N.21 Sungai Acheh,23.0,0.4023562503821773,Pulau Pinang,P.047 Nibong Tebal,27835,14288,13547,8799,9215
sla,N.22 Tanjong Bunga,607.0,0.0268932787084736,Pulau Pinang,P.048 Bukit Bendera,47717,23978,23739,25710,17250
sla,N.24 Kebun Bunga,566.0,0.0049781778505182,Pulau Pinang,P.048 Bukit Bendera,28278,13849,14429,14583,10571
sla,N.25 Pulau Tikus,93.0,0.0022914139371883,Pulau Pinang,P.048 Bukit Bendera,33088,16466,16622,10921,11356
sla,N.26 Padang Kota,43.0,0.0724386724386724,Pulau Pinang,P.049 Tanjong,5900,3611,2289,2877,1831
sla,N.27 Pengkalan Kota,48.0,0.0694288913773796,Pulau Pinang,P.049 Tanjong,21083,11995,9088,7246,6210
sla,N.28 Komtar,52.0,0.018913676042677,Pulau Pinang,P.049 Tanjong,7826,5057,2769,4556,2319
sla,N.29 Datok Keramat,37.0,0.0,Pulau Pinang,P.050 Jelutong,23329,11850,11479,8661,7712
sla,N.30 Sungai Pinang,49.0,0.8734099302421009,Pulau Pinang,P.050 Jelutong,55462,27171,28291,18355,15544
sla,N.31 Batu Lancang,52.0,0.0,Pulau Pinang,P.050 Jelutong,34934,17528,17406,12616,11275
sla,N.32 Seri Delima,229.0,0.0695149464184997,Pulau Pinang,P.051 Bukit Gelugor,38045,19538,18507,14518,12810
sla,N.33 Air Itam,140.0,0.0,Pulau Pinang,P.051 Bukit Gelugor,27678,14176,13502,8594,7954
sla,N.34 Paya Terubong,594.0,0.0157758040209061,Pulau Pinang,P.051 Bukit Gelugor,135282,68464,66818,43354,39261
sla,N.35 Batu Uban,164.0,0.266916354556804,Pulau Pinang,P.052 Bayan Baru,83879,40558,43321,27695,28118
sla,N.36 Pantai Jerejak,35.0,0.4002861620222116,Pulau Pinang,P.052 Bayan Baru,41556,22485,19071,15584,12902
sla,N.37 Batu Maung,290.0,0.1143435831338611,Pulau Pinang,P.052 Bayan Baru,63168,30941,32227,21807,18265
sla,N.38 Bayan Lepas,477.0,0.0193207363752354,Pulau Pinang,P.053 Balik Pulau,85321,43530,41791,36916,26777
sla,N.39 Pulau Betong,721.0,0.0152709273138965,Pulau Pinang,P.053 Balik Pulau,27310,13985,13325,9702,7474
sla,N.40 Telok Bahang,758.0,0.1656471854130361,Pulau Pinang,P.053 Balik Pulau,19713,10043,9670,6572,5296
sla,N.01 Pengkalan Hulu,1290.0,0.0126206123994957,Perak,P.054 Gerik,22877,12122,10755,7636,5857
sla,N.02 Temengor,2277.0,0.4035896980250935,Perak,P.054 Gerik,33933,17645,16288,10453,8633
sla,N.03 Kenering,1914.0,0.2059400182769793,Perak,P.055 Lenggong,22686,11923,10763,6924,5754
sla,N.04 Kota Tampan,1373.0,0.2509394149612672,Perak,P.055 Lenggong,14742,7283,7459,5052,4220
sla,N.05 Selama,1855.0,0.0012465389595834,Perak,P.056 Larut,22166,11219,10947,7332,6114
sla,N.06 Kubu Gajah,1590.0,0.0014191723667582,Perak,P.056 Larut,18949,9758,9191,6452,5113
sla,N.07 Batu Kurau,1418.0,8.227228207639569e-05,Perak,P.056 Larut,24905,12700,12205,8540,6579
sla,N.08 Titi Serong,18.0,0.4147640708061599,Perak,P.057 Parit Buntar,42654,21825,20829,12190,10462
sla,N.09 Kuala Kurau,15.0,1.0054643698708052,Perak,P.057 Parit Buntar,30712,15978,14734,8290,7193
sla,N.10 Alor Pongsu,59.0,0.2086423046145638,Perak,P.058 Bagan Serai,33625,17428,16197,11432,8409
sla,N.11 Gunong Semanggol,379.0,0.7133900323870994,Perak,P.058 Bagan Serai,30451,15473,14978,9439,7227
sla,N.12 Selinsing,107.0,0.6260321688955425,Perak,P.058 Bagan Serai,28910,14976,13934,8548,6960
sla,N.13 Kuala Sepetang,185.0,0.4931967058776894,Perak,P.059 Bukit Gantang,46387,24528,21859,13359,11558
sla,N.14 Changkat Jering,1032.0,0.0032125229987441,Perak,P.059 Bukit Gantang,44895,22801,22094,14184,12067
sla,N.15 Trong,1646.0,0.5713723606182431,Perak,P.059 Bukit Gantang,16531,8915,7616,5519,4364
sla,N.16 Kamunting,1393.0,0.0007700806910637,Perak,P.060 Taiping,40215,20652,19563,13836,10987
sla,N.17 Pokok Assam,1303.0,0.0434856568468259,Perak,P.060 Taiping,36444,19053,17391,11617,9625
sla,N.18 Aulong,206.0,0.0461770840825721,Perak,P.060 Taiping,54053,27842,26211,16826,14206
sla,N.19 Chenderoh,1484.0,0.29031450675971,Perak,P.061 Padang Rengas,16881,8548,8333,6200,4510
sla,N.20 Lubok Merbau,1677.0,0.0032156799613635,Perak,P.061 Padang Rengas,21413,10694,10719,7461,5818
sla,N.21 Lintang,2135.0,0.0313256911119988,Perak,P.062 Sungai Siput,38703,20227,18476,11189,10918
sla,N.22 Jalong,2235.0,0.0055716015437782,Perak,P.062 Sungai Siput,48112,24464,23648,13860,13764
sla,N.23 Manjoi,1097.0,0.028966715591741,Perak,P.063 Tambun,145492,74703,70789,46736,39646
sla,N.24 Hulu Kinta,2227.0,0.0559404092745476,Perak,P.063 Tambun,113674,59286,54388,35087,30492
sla,N.25 Canning,164.0,0.0003336113427856,Perak,P.064 Ipoh Timor,46935,24661,22274,17036,14449
sla,N.26 Tebing Tinggi,90.0,0.5081236414545187,Perak,P.064 Ipoh Timor,55108,28486,26622,18213,15257
sla,N.27 Pasir Pinji,95.0,0.0130434782608695,Perak,P.064 Ipoh Timor,32657,16733,15924,11187,9557
sla,N.28 Bercham,189.0,0.0054644808743169,Perak,P.065 Ipoh Barat,70269,36602,33667,22336,19390
sla,N.29 Kepayang,237.0,0.0277856858167739,Perak,P.065 Ipoh Barat,23188,11775,11413,8315,6623
sla,N.30 Buntong,119.0,0.0008380824673147,Perak,P.065 Ipoh Barat,41521,21432,20089,12703,11179
sla,N.31 Jelapang,848.0,0.0934653188428959,Perak,P.066 Batu Gajah,45509,23706,21803,14359,12569
sla,N.32 Menglembu,176.0,0.3887630435589884,Perak,P.066 Batu Gajah,45529,24599,20930,13822,13198
sla,N.33 Tronoh,541.0,0.4108773944360352,Perak,P.066 Batu Gajah,46189,24452,21737,16749,12455
sla,N.34 Bukit Chandan,932.0,0.1081963047750954,Perak,P.067 Kuala Kangsar,26693,13189,13504,7789,7347
sla,N.35 Manong,1671.0,0.0892395129635294,Perak,P.067 Kuala Kangsar,25096,12649,12447,8960,7044
sla,N.36 Pengkalan Baharu,650.0,0.0233293799854823,Perak,P.068 Beruas,22266,12613,9653,7378,5854
sla,N.37 Pantai Remis,491.0,0.2026689148374015,Perak,P.068 Beruas,47154,24807,22347,16126,12404
sla,N.38 Astaka,33.0,0.0001230226669263,Perak,P.068 Beruas,50336,26356,23980,19246,13257
sla,N.39 Belanja,623.0,0.1920890881865596,Perak,P.069 Parit,11330,5861,5469,5284,3528
sla,N.40 Bota,172.0,0.1929511418653898,Perak,P.069 Parit,49658,25557,24101,17430,16433
sla,N.41 Malim Nawar,132.0,1.2501824906321477,Perak,P.070 Kampar,29769,15666,14103,15514,9380
sla,N.42 Keranji,1259.0,0.2569664277095606,Perak,P.070 Kampar,37824,19329,18495,13912,10541
sla,N.43 Tualang Sekah,1449.0,0.3024608598816516,Perak,P.070 Kampar,36959,18741,18218,11624,10094
sla,N.44 Sungai Rapat,109.0,0.428142967915612,Perak,P.071 Gopeng,76028,39059,36969,24886,20290
sla,N.45 Simpang Pulai,1596.0,0.0283626848367477,Perak,P.071 Gopeng,98997,51100,47897,30563,27255
sla,N.46 Teja,2128.0,0.0691422354557947,Perak,P.071 Gopeng,41211,20696,20515,12772,10921
sla,N.47 Chenderiang,2157.0,0.0425208185892107,Perak,P.072 Tapah,34641,18464,16177,11273,9160
sla,N.48 Ayer Kuning,206.0,0.2498980849506635,Perak,P.072 Tapah,44452,24124,20328,13670,12215
sla,N.49 Sungai Manik,47.0,0.0133173325332933,Perak,P.073 Pasir Salak,39299,21215,18084,11582,9147
sla,N.50 Kampong Gajah,189.0,0.3877252930707003,Perak,P.073 Pasir Salak,41186,21592,19594,18442,10809
sla,N.51 Pasir Panjang,98.0,0.7823788362871921,Perak,P.074 Lumut,95064,51276,43788,30810,23179
sla,N.52 Pangkor,375.0,1.2558684708351926,Perak,P.074 Lumut,29256,16475,12781,11490,7367
sla,N.53 Rungkup,25.0,2.191985882407666,Perak,P.075 Bagan Datuk,20419,10974,9445,5573,5954
sla,N.54 Hutan Melintang,20.0,0.4123873575404188,Perak,P.075 Bagan Datuk,56076,30410,25666,12932,15511
sla,N.55 Pasir Bedamar,32.0,2.110459740719611,Perak,P.076 Teluk Intan,37982,19819,18163,12177,9262
sla,N.56 Changkat Jong,141.0,0.0696234138268953,Perak,P.076 Teluk Intan,65083,36049,29034,19973,16873
sla,N.57 Sungkai,2145.0,0.0909074370542861,Perak,P.077 Tanjong Malim,25294,13942,11352,8548,6980
